"","Age","Year","Value"
"1",10,1992,1785605
"2",11,1992,1768661
"3",12,1992,1776677
"4",13,1992,1659985
"5",14,1992,1625215
"6",15,1992,1558361
"7",16,1992,1512741
"8",17,1992,1490519
"9",18,1992,1441902
"10",19,1992,1319266
"11",20,1992,1354630
"12",21,1992,1257179
"13",22,1992,1331973
"14",23,1992,1251096
"15",24,1992,1233614
"16",25,1992,1148801
"17",26,1992,1153087
"18",27,1992,1200477
"19",28,1992,1153669
"20",29,1992,1162446
"21",30,1992,1168556
"22",31,1992,1046185
"23",32,1992,1113600
"24",33,1992,1000036
"25",34,1992,1035798
"26",35,1992,1010302
"27",36,1992,932850
"28",37,1992,965779
"29",38,1992,921308
"30",39,1992,856248
"31",40,1992,893031
"32",41,1992,764459
"33",42,1992,897536
"34",43,1992,704538
"35",44,1992,738096
"36",45,1992,711628
"37",46,1992,627163
"38",47,1992,600427
"39",48,1992,584196
"40",49,1992,544247
"41",50,1992,587199
"42",51,1992,469078
"43",52,1992,540439
"44",53,1992,496796
"45",54,1992,440009
"46",55,1992,471088
"47",56,1992,473387
"48",57,1992,384003
"49",58,1992,395452
"50",59,1992,368960
"51",60,1992,417902
"52",61,1992,314343
"53",62,1992,383205
"54",63,1992,303190
"55",64,1992,334521
"56",65,1992,323605
"57",66,1992,281998
"58",67,1992,279444
"59",68,1992,263112
"60",69,1992,228318
"61",70,1992,232610
"62",71,1992,192320
"63",72,1992,208623
"64",73,1992,158769
"65",74,1992,156262
"66",75,1992,139782
"67",76,1992,126881
"68",77,1992,109827
"69",78,1992,112637
"70",79,1992,96832
"71",80,1992,89953
"72",81,1992,84122
"73",82,1992,58322
"74",83,1992,46006
"75",84,1992,44850
"76",85,1992,43804
"77",86,1992,25002
"78",87,1992,27255
"79",88,1992,16602
"80",89,1992,10615
"81",90,1992,14969
"82",91,1992,14313
"83",92,1992,4523
"84",93,1992,4887
"85",94,1992,1857
"86",95,1992,1660
"87",96,1992,2173
"88",97,1992,1099
"89",98,1992,1855
"90",99,1992,536
"91",100,1992,2943
