"","Age","Year","Value"
"1",10,1979,1400520
"2",11,1979,1414100
"3",12,1979,1403041
"4",13,1979,1386724
"5",14,1979,1445682
"6",15,1979,1450869
"7",16,1979,1395265
"8",17,1979,1290929
"9",18,1979,1266362
"10",19,1979,1245065
"11",20,1979,1171078
"12",21,1979,1102132
"13",22,1979,1084807
"14",23,1979,1028349
"15",24,1979,976551
"16",25,1979,992567
"17",26,1979,911232
"18",27,1979,920395
"19",28,1979,846774
"20",29,1979,847461
"21",30,1979,805743
"22",31,1979,719456
"23",32,1979,741457
"24",33,1979,667244
"25",34,1979,672874
"26",35,1979,674811
"27",36,1979,607357
"28",37,1979,611079
"29",38,1979,553817
"30",39,1979,670765
"31",40,1979,636738
"32",41,1979,509862
"33",42,1979,543238
"34",43,1979,523640
"35",44,1979,503379
"36",45,1979,517266
"37",46,1979,448980
"38",47,1979,441678
"39",48,1979,430514
"40",49,1979,487842
"41",50,1979,475730
"42",51,1979,357856
"43",52,1979,405632
"44",53,1979,365994
"45",54,1979,359804
"46",55,1979,367955
"47",56,1979,317843
"48",57,1979,294394
"49",58,1979,267050
"50",59,1979,283250
"51",60,1979,281081
"52",61,1979,240220
"53",62,1979,236836
"54",63,1979,222777
"55",64,1979,237411
"56",65,1979,259170
"57",66,1979,206816
"58",67,1979,185493
"59",68,1979,187982
"60",69,1979,189979
"61",70,1979,170927
"62",71,1979,123229
"63",72,1979,135838
"64",73,1979,118062
"65",74,1979,114997
"66",75,1979,133728
"67",76,1979,85178
"68",77,1979,91274
"69",78,1979,87966
"70",79,1979,75128
"71",80,1979,60269
"72",81,1979,28129
"73",82,1979,31284
"74",83,1979,29982
"75",84,1979,23979
"76",85,1979,24068
"77",86,1979,23839
"78",87,1979,15176
"79",88,1979,15655
"80",89,1979,9630
"81",90,1979,16048
"82",91,1979,6294
"83",92,1979,4350
"84",93,1979,6434
"85",94,1979,3456
"86",95,1979,2596
"87",96,1979,2404
"88",97,1979,1217
"89",98,1979,9155
"90",99,1979,575
"91",100,1979,NA
