"","Age","Year","Value"
"1",10,1998,80557
"2",11,1998,109234
"3",12,1998,151568
"4",13,1998,215737
"5",14,1998,299559
"6",15,1998,460551
"7",16,1998,606214
"8",17,1998,714610
"9",18,1998,782063
"10",19,1998,837703
"11",20,1998,845528
"12",21,1998,854272
"13",22,1998,837363
"14",23,1998,833196
"15",24,1998,817569
"16",25,1998,811494
"17",26,1998,793653
"18",27,1998,758463
"19",28,1998,785591
"20",29,1998,765816
"21",30,1998,801595
"22",31,1998,762438
"23",32,1998,811975
"24",33,1998,822225
"25",34,1998,778386
"26",35,1998,836729
"27",36,1998,770684
"28",37,1998,728800
"29",38,1998,759396
"30",39,1998,702598
"31",40,1998,757094
"32",41,1998,641780
"33",42,1998,658277
"34",43,1998,642305
"35",44,1998,594468
"36",45,1998,553389
"37",46,1998,517911
"38",47,1998,456424
"39",48,1998,456730
"40",49,1998,408299
"41",50,1998,383338
"42",51,1998,321922
"43",52,1998,319654
"44",53,1998,280974
"45",54,1998,292474
"46",55,1998,244454
"47",56,1998,228793
"48",57,1998,206210
"49",58,1998,210046
"50",59,1998,161641
"51",60,1998,153702
"52",61,1998,120246
"53",62,1998,106781
"54",63,1998,102016
"55",64,1998,92586
"56",65,1998,73337
"57",66,1998,68258
"58",67,1998,58233
"59",68,1998,48252
"60",69,1998,34246
"61",70,1998,36268
"62",71,1998,34782
"63",72,1998,22594
"64",73,1998,22104
"65",74,1998,19900
"66",75,1998,12765
"67",76,1998,9784
"68",77,1998,10000
"69",78,1998,13980
"70",79,1998,7027
"71",80,1998,8834
"72",81,1998,3503
"73",82,1998,5784
"74",83,1998,4140
"75",84,1998,1245
"76",85,1998,1701
"77",86,1998,326
"78",87,1998,3146
"79",88,1998,849
"80",89,1998,201
"81",90,1998,650
"82",91,1998,NA
"83",92,1998,1030
"84",93,1998,200
"85",94,1998,NA
"86",95,1998,NA
"87",96,1998,NA
"88",97,1998,249
"89",98,1998,821
"90",99,1998,NA
"91",100,1998,NA
