"","Age","Year","Value"
"1",10,1988,1732344
"2",11,1988,1631484
"3",12,1988,1594797
"4",13,1988,1578091
"5",14,1988,1513988
"6",15,1988,1501142
"7",16,1988,1504599
"8",17,1988,1407761
"9",18,1988,1444373
"10",19,1988,1299143
"11",20,1988,1381959
"12",21,1988,1291068
"13",22,1988,1372064
"14",23,1988,1325183
"15",24,1988,1344562
"16",25,1988,1300588
"17",26,1988,1216667
"18",27,1988,1170513
"19",28,1988,1215225
"20",29,1988,1103772
"21",30,1988,1146325
"22",31,1988,1024893
"23",32,1988,1098899
"24",33,1988,1076435
"25",34,1988,1006068
"26",35,1988,1031118
"27",36,1988,962055
"28",37,1988,871298
"29",38,1988,937106
"30",39,1988,825121
"31",40,1988,869573
"32",41,1988,755584
"33",42,1988,757818
"34",43,1988,740404
"35",44,1988,715543
"36",45,1988,634091
"37",46,1988,644184
"38",47,1988,563131
"39",48,1988,647222
"40",49,1988,598904
"41",50,1988,588942
"42",51,1988,528496
"43",52,1988,553211
"44",53,1988,534657
"45",54,1988,474412
"46",55,1988,486971
"47",56,1988,465582
"48",57,1988,407160
"49",58,1988,462155
"50",59,1988,414865
"51",60,1988,427271
"52",61,1988,320615
"53",62,1988,366589
"54",63,1988,361509
"55",64,1988,336871
"56",65,1988,360317
"57",66,1988,302967
"58",67,1988,262292
"59",68,1988,271816
"60",69,1988,218713
"61",70,1988,248175
"62",71,1988,190445
"63",72,1988,201336
"64",73,1988,193900
"65",74,1988,182302
"66",75,1988,182814
"67",76,1988,131560
"68",77,1988,135361
"69",78,1988,133809
"70",79,1988,100291
"71",80,1988,95508
"72",81,1988,88254
"73",82,1988,77449
"74",83,1988,68883
"75",84,1988,55404
"76",85,1988,43053
"77",86,1988,41754
"78",87,1988,33808
"79",88,1988,33661
"80",89,1988,12857
"81",90,1988,10055
"82",91,1988,9242
"83",92,1988,7038
"84",93,1988,7485
"85",94,1988,4887
"86",95,1988,7557
"87",96,1988,4651
"88",97,1988,4279
"89",98,1988,6727
"90",99,1988,4527
"91",100,1988,4303
