"","Age","Year","Value"
"1",10,1984,1539420
"2",11,1984,1465873
"3",12,1984,1493767
"4",13,1984,1437467
"5",14,1984,1414446
"6",15,1984,1411621
"7",16,1984,1420335
"8",17,1984,1375545
"9",18,1984,1388860
"10",19,1984,1295752
"11",20,1984,1288770
"12",21,1984,1186570
"13",22,1984,1243982
"14",23,1984,1148328
"15",24,1984,1127361
"16",25,1984,1066441
"17",26,1984,1043821
"18",27,1984,1001522
"19",28,1984,971022
"20",29,1984,917856
"21",30,1984,981145
"22",31,1984,834468
"23",32,1984,879243
"24",33,1984,847461
"25",34,1984,841056
"26",35,1984,782359
"27",36,1984,763423
"28",37,1984,697436
"29",38,1984,667950
"30",39,1984,632351
"31",40,1984,681799
"32",41,1984,578139
"33",42,1984,646371
"34",43,1984,569164
"35",44,1984,641336
"36",45,1984,555630
"37",46,1984,508500
"38",47,1984,511475
"39",48,1984,507877
"40",49,1984,497271
"41",50,1984,473578
"42",51,1984,407175
"43",52,1984,453751
"44",53,1984,434022
"45",54,1984,452374
"46",55,1984,405417
"47",56,1984,415269
"48",57,1984,361378
"49",58,1984,345117
"50",59,1984,315375
"51",60,1984,344273
"52",61,1984,265370
"53",62,1984,279444
"54",63,1984,267122
"55",64,1984,273624
"56",65,1984,250929
"57",66,1984,228965
"58",67,1984,223763
"59",68,1984,202110
"60",69,1984,202233
"61",70,1984,200461
"62",71,1984,156819
"63",72,1984,157636
"64",73,1984,151960
"65",74,1984,131944
"66",75,1984,102225
"67",76,1984,94580
"68",77,1984,91958
"69",78,1984,82190
"70",79,1984,73508
"71",80,1984,58635
"72",81,1984,44061
"73",82,1984,36446
"74",83,1984,36310
"75",84,1984,34243
"76",85,1984,19732
"77",86,1984,13698
"78",87,1984,12165
"79",88,1984,10953
"80",89,1984,7032
"81",90,1984,7887
"82",91,1984,4281
"83",92,1984,3171
"84",93,1984,1952
"85",94,1984,1763
"86",95,1984,2816
"87",96,1984,2206
"88",97,1984,471
"89",98,1984,1177
"90",99,1984,753
"91",100,1984,2152
