"","Age","Year","Value"
"1",10,1988,202608
"2",11,1988,262011
"3",12,1988,377656
"4",13,1988,488635
"5",14,1988,688153
"6",15,1988,847379
"7",16,1988,996584
"8",17,1988,1032325
"9",18,1988,1190669
"10",19,1988,1131441
"11",20,1988,1153650
"12",21,1988,1112772
"13",22,1988,1233763
"14",23,1988,1153705
"15",24,1988,1123852
"16",25,1988,1158934
"17",26,1988,1065445
"18",27,1988,1024740
"19",28,1988,1030907
"20",29,1988,998396
"21",30,1988,996774
"22",31,1988,897522
"23",32,1988,935150
"24",33,1988,939960
"25",34,1988,927623
"26",35,1988,893001
"27",36,1988,852917
"28",37,1988,783954
"29",38,1988,823345
"30",39,1988,760459
"31",40,1988,799939
"32",41,1988,656259
"33",42,1988,672409
"34",43,1988,594288
"35",44,1988,608557
"36",45,1988,549481
"37",46,1988,586696
"38",47,1988,501392
"39",48,1988,533697
"40",49,1988,459121
"41",50,1988,492425
"42",51,1988,437689
"43",52,1988,414515
"44",53,1988,428706
"45",54,1988,365546
"46",55,1988,355783
"47",56,1988,345174
"48",57,1988,315655
"49",58,1988,326507
"50",59,1988,272212
"51",60,1988,272924
"52",61,1988,229665
"53",62,1988,224716
"54",63,1988,189607
"55",64,1988,173172
"56",65,1988,154997
"57",66,1988,146716
"58",67,1988,109655
"59",68,1988,109594
"60",69,1988,84933
"61",70,1988,73881
"62",71,1988,55662
"63",72,1988,57487
"64",73,1988,61538
"65",74,1988,47443
"66",75,1988,36426
"67",76,1988,28483
"68",77,1988,26044
"69",78,1988,18896
"70",79,1988,19230
"71",80,1988,10209
"72",81,1988,9947
"73",82,1988,8109
"74",83,1988,6686
"75",84,1988,3083
"76",85,1988,3561
"77",86,1988,235
"78",87,1988,1658
"79",88,1988,1313
"80",89,1988,422
"81",90,1988,814
"82",91,1988,601
"83",92,1988,NA
"84",93,1988,NA
"85",94,1988,601
"86",95,1988,NA
"87",96,1988,NA
"88",97,1988,NA
"89",98,1988,265
"90",99,1988,NA
"91",100,1988,NA
