"","Age","Year","Value"
"1",10,1989,1705932
"2",11,1989,1685902
"3",12,1989,1680249
"4",13,1989,1595041
"5",14,1989,1590980
"6",15,1989,1503358
"7",16,1989,1480928
"8",17,1989,1466223
"9",18,1989,1450234
"10",19,1989,1382983
"11",20,1989,1299633
"12",21,1989,1306455
"13",22,1989,1258136
"14",23,1989,1289448
"15",24,1989,1213998
"16",25,1989,1197973
"17",26,1989,1179306
"18",27,1989,1074254
"19",28,1989,1056023
"20",29,1989,1107711
"21",30,1989,1072039
"22",31,1989,1012073
"23",32,1989,1034228
"24",33,1989,984056
"25",34,1989,983697
"26",35,1989,926023
"27",36,1989,906121
"28",37,1989,875255
"29",38,1989,908816
"30",39,1989,886010
"31",40,1989,818514
"32",41,1989,735804
"33",42,1989,745541
"34",43,1989,685549
"35",44,1989,667368
"36",45,1989,681957
"37",46,1989,609217
"38",47,1989,652020
"39",48,1989,525873
"40",49,1989,598556
"41",50,1989,586971
"42",51,1989,539135
"43",52,1989,509709
"44",53,1989,498391
"45",54,1989,466592
"46",55,1989,453125
"47",56,1989,408492
"48",57,1989,424174
"49",58,1989,421775
"50",59,1989,402914
"51",60,1989,389886
"52",61,1989,333175
"53",62,1989,344629
"54",63,1989,314646
"55",64,1989,333444
"56",65,1989,327291
"57",66,1989,288383
"58",67,1989,265750
"59",68,1989,206028
"60",69,1989,239832
"61",70,1989,201565
"62",71,1989,169548
"63",72,1989,182747
"64",73,1989,156011
"65",74,1989,172076
"66",75,1989,164399
"67",76,1989,135745
"68",77,1989,111354
"69",78,1989,93215
"70",79,1989,76644
"71",80,1989,66467
"72",81,1989,54991
"73",82,1989,56752
"74",83,1989,60911
"75",84,1989,44507
"76",85,1989,35958
"77",86,1989,24398
"78",87,1989,18054
"79",88,1989,20524
"80",89,1989,17088
"81",90,1989,5235
"82",91,1989,5983
"83",92,1989,4224
"84",93,1989,1700
"85",94,1989,5239
"86",95,1989,7786
"87",96,1989,NA
"88",97,1989,883
"89",98,1989,3837
"90",99,1989,964
"91",100,1989,4091
