"","Age","Year","Value"
"1",10,1981,186117
"2",11,1981,260970
"3",12,1981,361772
"4",13,1981,466883
"5",14,1981,595299
"6",15,1981,749430
"7",16,1981,919416
"8",17,1981,1025364
"9",18,1981,1039598
"10",19,1981,1006596
"11",20,1981,982160
"12",21,1981,1023174
"13",22,1981,959843
"14",23,1981,985888
"15",24,1981,919578
"16",25,1981,893185
"17",26,1981,881314
"18",27,1981,879633
"19",28,1981,811145
"20",29,1981,791669
"21",30,1981,815098
"22",31,1981,773866
"23",32,1981,733083
"24",33,1981,718211
"25",34,1981,657762
"26",35,1981,636114
"27",36,1981,634749
"28",37,1981,581465
"29",38,1981,576614
"30",39,1981,570047
"31",40,1981,573485
"32",41,1981,595307
"33",42,1981,556208
"34",43,1981,490117
"35",44,1981,504244
"36",45,1981,488216
"37",46,1981,461244
"38",47,1981,412111
"39",48,1981,394434
"40",49,1981,389918
"41",50,1981,389545
"42",51,1981,377825
"43",52,1981,372129
"44",53,1981,318909
"45",54,1981,299692
"46",55,1981,302360
"47",56,1981,277802
"48",57,1981,249450
"49",58,1981,215640
"50",59,1981,226281
"51",60,1981,205902
"52",61,1981,184743
"53",62,1981,146246
"54",63,1981,150431
"55",64,1981,123391
"56",65,1981,134799
"57",66,1981,111778
"58",67,1981,85590
"59",68,1981,76460
"60",69,1981,61792
"61",70,1981,66122
"62",71,1981,47947
"63",72,1981,34872
"64",73,1981,31795
"65",74,1981,30977
"66",75,1981,21947
"67",76,1981,18087
"68",77,1981,13274
"69",78,1981,10542
"70",79,1981,7774
"71",80,1981,7496
"72",81,1981,4507
"73",82,1981,1985
"74",83,1981,3502
"75",84,1981,1941
"76",85,1981,2213
"77",86,1981,1451
"78",87,1981,2336
"79",88,1981,340
"80",89,1981,678
"81",90,1981,211
"82",91,1981,NA
"83",92,1981,NA
"84",93,1981,NA
"85",94,1981,NA
"86",95,1981,NA
"87",96,1981,NA
"88",97,1981,NA
"89",98,1981,454
"90",99,1981,NA
"91",100,1981,NA
