"","Age","Year","Value"
"1",10,1985,1525255
"2",11,1985,1468401
"3",12,1985,1459185
"4",13,1985,1464449
"5",14,1985,1450331
"6",15,1985,1498351
"7",16,1985,1436977
"8",17,1985,1391546
"9",18,1985,1376927
"10",19,1985,1337150
"11",20,1985,1353837
"12",21,1985,1292101
"13",22,1985,1310125
"14",23,1985,1249569
"15",24,1985,1204369
"16",25,1985,1263223
"17",26,1985,1115276
"18",27,1985,1118767
"19",28,1985,1077391
"20",29,1985,1042251
"21",30,1985,1062912
"22",31,1985,940700
"23",32,1985,928006
"24",33,1985,927633
"25",34,1985,869111
"26",35,1985,915952
"27",36,1985,816050
"28",37,1985,813274
"29",38,1985,771800
"30",39,1985,700472
"31",40,1985,749868
"32",41,1985,640895
"33",42,1985,672107
"34",43,1985,665061
"35",44,1985,565487
"36",45,1985,695364
"37",46,1985,561729
"38",47,1985,533740
"39",48,1985,516736
"40",49,1985,542091
"41",50,1985,583084
"42",51,1985,426816
"43",52,1985,462064
"44",53,1985,496518
"45",54,1985,436496
"46",55,1985,514140
"47",56,1985,390413
"48",57,1985,391944
"49",58,1985,393783
"50",59,1985,374168
"51",60,1985,402524
"52",61,1985,305526
"53",62,1985,305857
"54",63,1985,283600
"55",64,1985,259726
"56",65,1985,314662
"57",66,1985,262103
"58",67,1985,248702
"59",68,1985,232261
"60",69,1985,192493
"61",70,1985,251003
"62",71,1985,173572
"63",72,1985,182702
"64",73,1985,167481
"65",74,1985,141332
"66",75,1985,162777
"67",76,1985,106810
"68",77,1985,97658
"69",78,1985,91932
"70",79,1985,77329
"71",80,1985,97431
"72",81,1985,56111
"73",82,1985,65659
"74",83,1985,53928
"75",84,1985,55503
"76",85,1985,50295
"77",86,1985,27635
"78",87,1985,20233
"79",88,1985,14223
"80",89,1985,10538
"81",90,1985,13144
"82",91,1985,8168
"83",92,1985,6339
"84",93,1985,5743
"85",94,1985,4564
"86",95,1985,3275
"87",96,1985,4997
"88",97,1985,1990
"89",98,1985,3905
"90",99,1985,923
"91",100,1985,4089
