"","Age","Year","Value"
"1",10,1986,1597526
"2",11,1986,1525421
"3",12,1986,1537523
"4",13,1986,1518253
"5",14,1986,1497210
"6",15,1986,1484668
"7",16,1986,1474890
"8",17,1986,1388720
"9",18,1986,1396101
"10",19,1986,1302936
"11",20,1986,1341484
"12",21,1986,1270455
"13",22,1986,1374292
"14",23,1986,1258989
"15",24,1986,1221474
"16",25,1986,1127535
"17",26,1986,1180264
"18",27,1986,1116208
"19",28,1986,1097531
"20",29,1986,1045827
"21",30,1986,1135265
"22",31,1986,974128
"23",32,1986,1049341
"24",33,1986,953777
"25",34,1986,934257
"26",35,1986,870368
"27",36,1986,938854
"28",37,1986,802860
"29",38,1986,860849
"30",39,1986,797021
"31",40,1986,786649
"32",41,1986,677185
"33",42,1986,722226
"34",43,1986,638740
"35",44,1986,619925
"36",45,1986,609901
"37",46,1986,672391
"38",47,1986,597894
"39",48,1986,574853
"40",49,1986,533011
"41",50,1986,569425
"42",51,1986,506767
"43",52,1986,461366
"44",53,1986,500823
"45",54,1986,454548
"46",55,1986,451733
"47",56,1986,520959
"48",57,1986,407747
"49",58,1986,400022
"50",59,1986,385162
"51",60,1986,386938
"52",61,1986,344461
"53",62,1986,336656
"54",63,1986,332245
"55",64,1986,296416
"56",65,1986,281707
"57",66,1986,297010
"58",67,1986,217925
"59",68,1986,231000
"60",69,1986,220364
"61",70,1986,256203
"62",71,1986,185835
"63",72,1986,173858
"64",73,1986,178859
"65",74,1986,151714
"66",75,1986,153421
"67",76,1986,136015
"68",77,1986,97819
"69",78,1986,94508
"70",79,1986,85573
"71",80,1986,89006
"72",81,1986,66374
"73",82,1986,75092
"74",83,1986,48014
"75",84,1986,53889
"76",85,1986,50609
"77",86,1986,42856
"78",87,1986,24923
"79",88,1986,14281
"80",89,1986,12233
"81",90,1986,16114
"82",91,1986,8222
"83",92,1986,7461
"84",93,1986,8053
"85",94,1986,5179
"86",95,1986,2350
"87",96,1986,7312
"88",97,1986,5729
"89",98,1986,7442
"90",99,1986,765
"91",100,1986,3093
