"","Age","Year","Value"
"1",10,1987,1682471
"2",11,1987,1590561
"3",12,1987,1585119
"4",13,1987,1491613
"5",14,1987,1467212
"6",15,1987,1459538
"7",16,1987,1399757
"8",17,1987,1392418
"9",18,1987,1378537
"10",19,1987,1310484
"11",20,1987,1314218
"12",21,1987,1261252
"13",22,1987,1347316
"14",23,1987,1227044
"15",24,1987,1227386
"16",25,1987,1180351
"17",26,1987,1086113
"18",27,1987,1101139
"19",28,1987,990276
"20",29,1987,1060890
"21",30,1987,1050845
"22",31,1987,985844
"23",32,1987,966383
"24",33,1987,956096
"25",34,1987,874258
"26",35,1987,929312
"27",36,1987,860873
"28",37,1987,855933
"29",38,1987,803890
"30",39,1987,712385
"31",40,1987,807661
"32",41,1987,643380
"33",42,1987,727129
"34",43,1987,643909
"35",44,1987,611810
"36",45,1987,638457
"37",46,1987,549508
"38",47,1987,604424
"39",48,1987,546081
"40",49,1987,566644
"41",50,1987,535754
"42",51,1987,475087
"43",52,1987,489275
"44",53,1987,443171
"45",54,1987,425207
"46",55,1987,457101
"47",56,1987,391816
"48",57,1987,427591
"49",58,1987,387464
"50",59,1987,364509
"51",60,1987,365113
"52",61,1987,306178
"53",62,1987,319306
"54",63,1987,307059
"55",64,1987,266223
"56",65,1987,314128
"57",66,1987,237947
"58",67,1987,233331
"59",68,1987,200550
"60",69,1987,182571
"61",70,1987,188589
"62",71,1987,166277
"63",72,1987,193879
"64",73,1987,145785
"65",74,1987,140125
"66",75,1987,138189
"67",76,1987,121168
"68",77,1987,107507
"69",78,1987,86797
"70",79,1987,68804
"71",80,1987,74481
"72",81,1987,55301
"73",82,1987,60071
"74",83,1987,43615
"75",84,1987,41145
"76",85,1987,26329
"77",86,1987,27569
"78",87,1987,21566
"79",88,1987,12555
"80",89,1987,5777
"81",90,1987,9970
"82",91,1987,4765
"83",92,1987,1510
"84",93,1987,4155
"85",94,1987,3740
"86",95,1987,2707
"87",96,1987,605
"88",97,1987,1676
"89",98,1987,2651
"90",99,1987,223
"91",100,1987,902
