"","Age","Year","Value"
"1",10,1995,242114
"2",11,1995,306136
"3",12,1995,423846
"4",13,1995,549787
"5",14,1995,681777
"6",15,1995,928584
"7",16,1995,1040640
"8",17,1995,1188256
"9",18,1995,1121140
"10",19,1995,1144638
"11",20,1995,1200868
"12",21,1995,1132130
"13",22,1995,1142318
"14",23,1995,1200078
"15",24,1995,1113690
"16",25,1995,1172116
"17",26,1995,1087446
"18",27,1995,1105859
"19",28,1995,1058452
"20",29,1995,1074769
"21",30,1995,1170226
"22",31,1995,1088812
"23",32,1995,1151118
"24",33,1995,1080448
"25",34,1995,1007352
"26",35,1995,1061997
"27",36,1995,973722
"28",37,1995,958508
"29",38,1995,940643
"30",39,1995,915463
"31",40,1995,937474
"32",41,1995,862227
"33",42,1995,842344
"34",43,1995,803991
"35",44,1995,718875
"36",45,1995,774163
"37",46,1995,666229
"38",47,1995,687883
"39",48,1995,633073
"40",49,1995,540343
"41",50,1995,553068
"42",51,1995,502403
"43",52,1995,490286
"44",53,1995,458366
"45",54,1995,396083
"46",55,1995,433194
"47",56,1995,385319
"48",57,1995,337549
"49",58,1995,315087
"50",59,1995,322707
"51",60,1995,291070
"52",61,1995,238319
"53",62,1995,236313
"54",63,1995,242887
"55",64,1995,203363
"56",65,1995,216198
"57",66,1995,175629
"58",67,1995,146317
"59",68,1995,116685
"60",69,1995,119626
"61",70,1995,102151
"62",71,1995,77558
"63",72,1995,66563
"64",73,1995,60967
"65",74,1995,61727
"66",75,1995,44882
"67",76,1995,33483
"68",77,1995,31591
"69",78,1995,26777
"70",79,1995,23010
"71",80,1995,18391
"72",81,1995,14848
"73",82,1995,8526
"74",83,1995,7261
"75",84,1995,8534
"76",85,1995,8534
"77",86,1995,2876
"78",87,1995,2811
"79",88,1995,3465
"80",89,1995,924
"81",90,1995,1106
"82",91,1995,1093
"83",92,1995,NA
"84",93,1995,538
"85",94,1995,572
"86",95,1995,NA
"87",96,1995,NA
"88",97,1995,NA
"89",98,1995,217
"90",99,1995,NA
"91",100,1995,486
