"","Age","Year","Value"
"1",10,1991,1694798
"2",11,1991,1728244
"3",12,1991,1598868
"4",13,1991,1548261
"5",14,1991,1585087
"6",15,1991,1538942
"7",16,1991,1491519
"8",17,1991,1395165
"9",18,1991,1397933
"10",19,1991,1309719
"11",20,1991,1338230
"12",21,1991,1245583
"13",22,1991,1242126
"14",23,1991,1247566
"15",24,1991,1278117
"16",25,1991,1256769
"17",26,1991,1276150
"18",27,1991,1241915
"19",28,1991,1190471
"20",29,1991,1102089
"21",30,1991,1151582
"22",31,1991,1089018
"23",32,1991,1097433
"24",33,1991,1076957
"25",34,1991,1030848
"26",35,1991,1059509
"27",36,1991,1000447
"28",37,1991,914445
"29",38,1991,925458
"30",39,1991,890210
"31",40,1991,938091
"32",41,1991,804586
"33",42,1991,823924
"34",43,1991,745047
"35",44,1991,701724
"36",45,1991,698701
"37",46,1991,669302
"38",47,1991,588369
"39",48,1991,607978
"40",49,1991,562853
"41",50,1991,631009
"42",51,1991,510719
"43",52,1991,544167
"44",53,1991,497295
"45",54,1991,541210
"46",55,1991,530240
"47",56,1991,432237
"48",57,1991,438493
"49",58,1991,479816
"50",59,1991,407541
"51",60,1991,503924
"52",61,1991,331365
"53",62,1991,408888
"54",63,1991,380883
"55",64,1991,348133
"56",65,1991,352013
"57",66,1991,330259
"58",67,1991,285672
"59",68,1991,280776
"60",69,1991,240735
"61",70,1991,272250
"62",71,1991,188681
"63",72,1991,200434
"64",73,1991,185868
"65",74,1991,187162
"66",75,1991,202588
"67",76,1991,166515
"68",77,1991,130072
"69",78,1991,139968
"70",79,1991,111514
"71",80,1991,116468
"72",81,1991,62499
"73",82,1991,66369
"74",83,1991,68308
"75",84,1991,53552
"76",85,1991,63337
"77",86,1991,46381
"78",87,1991,37662
"79",88,1991,27896
"80",89,1991,27870
"81",90,1991,18855
"82",91,1991,8464
"83",92,1991,9270
"84",93,1991,6046
"85",94,1991,8639
"86",95,1991,6018
"87",96,1991,2214
"88",97,1991,2578
"89",98,1991,7962
"90",99,1991,667
"91",100,1991,4177
