"","Age","Year","Value"
"1",10,1987,1626536
"2",11,1987,1508816
"3",12,1987,1540531
"4",13,1987,1522504
"5",14,1987,1480311
"6",15,1987,1506964
"7",16,1987,1465148
"8",17,1987,1446252
"9",18,1987,1421995
"10",19,1987,1302851
"11",20,1987,1342681
"12",21,1987,1335591
"13",22,1987,1303765
"14",23,1987,1376113
"15",24,1987,1300345
"16",25,1987,1284588
"17",26,1987,1119463
"18",27,1987,1190331
"19",28,1987,1159264
"20",29,1987,1136685
"21",30,1987,1125935
"22",31,1987,1026166
"23",32,1987,1061449
"24",33,1987,978106
"25",34,1987,971258
"26",35,1987,1013076
"27",36,1987,877025
"28",37,1987,927720
"29",38,1987,842296
"30",39,1987,763344
"31",40,1987,843407
"32",41,1987,683968
"33",42,1987,777888
"34",43,1987,634643
"35",44,1987,636167
"36",45,1987,666228
"37",46,1987,608682
"38",47,1987,630355
"39",48,1987,552055
"40",49,1987,568104
"41",50,1987,593018
"42",51,1987,513861
"43",52,1987,517399
"44",53,1987,433139
"45",54,1987,439990
"46",55,1987,462136
"47",56,1987,444428
"48",57,1987,499875
"49",58,1987,410747
"50",59,1987,388060
"51",60,1987,434970
"52",61,1987,345915
"53",62,1987,341768
"54",63,1987,355927
"55",64,1987,312923
"56",65,1987,323390
"57",66,1987,244623
"58",67,1987,281759
"59",68,1987,233928
"60",69,1987,220450
"61",70,1987,227366
"62",71,1987,192672
"63",72,1987,200548
"64",73,1987,183944
"65",74,1987,161870
"66",75,1987,152453
"67",76,1987,144632
"68",77,1987,154778
"69",78,1987,94771
"70",79,1987,95008
"71",80,1987,97226
"72",81,1987,67124
"73",82,1987,73214
"74",83,1987,57233
"75",84,1987,66940
"76",85,1987,46004
"77",86,1987,43192
"78",87,1987,33947
"79",88,1987,13790
"80",89,1987,8703
"81",90,1987,11039
"82",91,1987,9715
"83",92,1987,6344
"84",93,1987,5134
"85",94,1987,3864
"86",95,1987,5042
"87",96,1987,3228
"88",97,1987,5150
"89",98,1987,9279
"90",99,1987,NA
"91",100,1987,2452
