"","Age","Year","Value"
"1",10,1984,190476
"2",11,1984,245165
"3",12,1984,353875
"4",13,1984,436027
"5",14,1984,588152
"6",15,1984,773332
"7",16,1984,900002
"8",17,1984,978143
"9",18,1984,1037933
"10",19,1984,1094503
"11",20,1984,1128494
"12",21,1984,1067642
"13",22,1984,1139142
"14",23,1984,1071224
"15",24,1984,1064296
"16",25,1984,1007241
"17",26,1984,998821
"18",27,1984,959656
"19",28,1984,933329
"20",29,1984,882615
"21",30,1984,941518
"22",31,1984,794170
"23",32,1984,845537
"24",33,1984,815302
"25",34,1984,808228
"26",35,1984,748570
"27",36,1984,733937
"28",37,1984,668974
"29",38,1984,639162
"30",39,1984,601039
"31",40,1984,643473
"32",41,1984,548051
"33",42,1984,607869
"34",43,1984,534796
"35",44,1984,595302
"36",45,1984,506559
"37",46,1984,459467
"38",47,1984,452692
"39",48,1984,441075
"40",49,1984,435669
"41",50,1984,400030
"42",51,1984,339120
"43",52,1984,378843
"44",53,1984,347027
"45",54,1984,349153
"46",55,1984,304643
"47",56,1984,318075
"48",57,1984,263374
"49",58,1984,242315
"50",59,1984,216883
"51",60,1984,227111
"52",61,1984,166206
"53",62,1984,170173
"54",63,1984,156885
"55",64,1984,167241
"56",65,1984,128235
"57",66,1984,107022
"58",67,1984,99059
"59",68,1984,79850
"60",69,1984,71798
"61",70,1984,67868
"62",71,1984,53166
"63",72,1984,48724
"64",73,1984,38790
"65",74,1984,34979
"66",75,1984,24739
"67",76,1984,22519
"68",77,1984,16414
"69",78,1984,17761
"70",79,1984,13419
"71",80,1984,9571
"72",81,1984,5117
"73",82,1984,6066
"74",83,1984,5752
"75",84,1984,3380
"76",85,1984,2575
"77",86,1984,437
"78",87,1984,700
"79",88,1984,813
"80",89,1984,505
"81",90,1984,173
"82",91,1984,NA
"83",92,1984,NA
"84",93,1984,NA
"85",94,1984,NA
"86",95,1984,NA
"87",96,1984,NA
"88",97,1984,NA
"89",98,1984,NA
"90",99,1984,NA
"91",100,1984,NA
