"","Age","Year","Value"
"1",10,1985,1568554
"2",11,1985,1529223
"3",12,1985,1479629
"4",13,1985,1510491
"5",14,1985,1411383
"6",15,1985,1469033
"7",16,1985,1374924
"8",17,1985,1385559
"9",18,1985,1407649
"10",19,1985,1336602
"11",20,1985,1315644
"12",21,1985,1256275
"13",22,1985,1277912
"14",23,1985,1160763
"15",24,1985,1118081
"16",25,1985,1171653
"17",26,1985,1026522
"18",27,1985,1089311
"19",28,1985,998686
"20",29,1985,981397
"21",30,1985,1028750
"22",31,1985,935015
"23",32,1985,889445
"24",33,1985,901395
"25",34,1985,818824
"26",35,1985,901438
"27",36,1985,779432
"28",37,1985,760500
"29",38,1985,752199
"30",39,1985,680761
"31",40,1985,733420
"32",41,1985,604988
"33",42,1985,650223
"34",43,1985,623938
"35",44,1985,541584
"36",45,1985,665245
"37",46,1985,524290
"38",47,1985,536580
"39",48,1985,539031
"40",49,1985,498401
"41",50,1985,544355
"42",51,1985,413397
"43",52,1985,447542
"44",53,1985,438716
"45",54,1985,419000
"46",55,1985,463295
"47",56,1985,396018
"48",57,1985,360233
"49",58,1985,369746
"50",59,1985,351085
"51",60,1985,378907
"52",61,1985,284760
"53",62,1985,288515
"54",63,1985,292656
"55",64,1985,255853
"56",65,1985,279040
"57",66,1985,214215
"58",67,1985,231811
"59",68,1985,191535
"60",69,1985,190192
"61",70,1985,207025
"62",71,1985,152108
"63",72,1985,152828
"64",73,1985,150528
"65",74,1985,135777
"66",75,1985,138718
"67",76,1985,89773
"68",77,1985,85788
"69",78,1985,78427
"70",79,1985,68316
"71",80,1985,70112
"72",81,1985,48228
"73",82,1985,37814
"74",83,1985,42359
"75",84,1985,38173
"76",85,1985,34139
"77",86,1985,15708
"78",87,1985,12816
"79",88,1985,7378
"80",89,1985,7440
"81",90,1985,6764
"82",91,1985,2419
"83",92,1985,2220
"84",93,1985,3425
"85",94,1985,2853
"86",95,1985,1603
"87",96,1985,2231
"88",97,1985,1557
"89",98,1985,2944
"90",99,1985,NA
"91",100,1985,750
