"","Age","Year","Value"
"1",10,1998,175726
"2",11,1998,230023
"3",12,1998,331732
"4",13,1998,427931
"5",14,1998,578579
"6",15,1998,792216
"7",16,1998,993659
"8",17,1998,1091743
"9",18,1998,1238585
"10",19,1998,1274374
"11",20,1998,1300574
"12",21,1998,1248598
"13",22,1998,1238041
"14",23,1998,1177927
"15",24,1998,1184685
"16",25,1998,1121003
"17",26,1998,1120737
"18",27,1998,1090561
"19",28,1998,1147808
"20",29,1998,1085893
"21",30,1998,1140313
"22",31,1998,1047670
"23",32,1998,1102386
"24",33,1998,1138737
"25",34,1998,1117739
"26",35,1998,1104424
"27",36,1998,1071046
"28",37,1998,1029217
"29",38,1998,1046892
"30",39,1998,944036
"31",40,1998,994876
"32",41,1998,883797
"33",42,1998,948059
"34",43,1998,866699
"35",44,1998,887598
"36",45,1998,797979
"37",46,1998,744829
"38",47,1998,693925
"39",48,1998,724322
"40",49,1998,606582
"41",50,1998,654927
"42",51,1998,518370
"43",52,1998,540642
"44",53,1998,506854
"45",54,1998,451975
"46",55,1998,445476
"47",56,1998,402763
"48",57,1998,342929
"49",58,1998,367561
"50",59,1998,341474
"51",60,1998,319930
"52",61,1998,259481
"53",62,1998,261006
"54",63,1998,246124
"55",64,1998,199714
"56",65,1998,189498
"57",66,1998,180840
"58",67,1998,130756
"59",68,1998,151394
"60",69,1998,121992
"61",70,1998,98156
"62",71,1998,90960
"63",72,1998,84857
"64",73,1998,70346
"65",74,1998,59568
"66",75,1998,56777
"67",76,1998,42755
"68",77,1998,27352
"69",78,1998,24274
"70",79,1998,21493
"71",80,1998,21486
"72",81,1998,14616
"73",82,1998,9794
"74",83,1998,9313
"75",84,1998,12213
"76",85,1998,4209
"77",86,1998,9014
"78",87,1998,2631
"79",88,1998,712
"80",89,1998,644
"81",90,1998,1082
"82",91,1998,1643
"83",92,1998,NA
"84",93,1998,868
"85",94,1998,NA
"86",95,1998,NA
"87",96,1998,200
"88",97,1998,201
"89",98,1998,NA
"90",99,1998,NA
"91",100,1998,NA
