"","Age","Year","Value"
"1",10,1993,1714124
"2",11,1993,1747040
"3",12,1993,1767153
"4",13,1993,1748759
"5",14,1993,1700934
"6",15,1993,1640468
"7",16,1993,1565215
"8",17,1993,1453039
"9",18,1993,1441734
"10",19,1993,1342421
"11",20,1993,1348275
"12",21,1993,1295300
"13",22,1993,1293319
"14",23,1993,1346542
"15",24,1993,1258389
"16",25,1993,1226788
"17",26,1993,1248785
"18",27,1993,1254705
"19",28,1993,1306404
"20",29,1993,1233109
"21",30,1993,1291032
"22",31,1993,1145727
"23",32,1993,1146194
"24",33,1993,1163214
"25",34,1993,1091988
"26",35,1993,1082663
"27",36,1993,1097167
"28",37,1993,1013018
"29",38,1993,1059670
"30",39,1993,1000634
"31",40,1993,899713
"32",41,1993,841823
"33",42,1993,863951
"34",43,1993,874170
"35",44,1993,786300
"36",45,1993,752165
"37",46,1993,707929
"38",47,1993,647113
"39",48,1993,688645
"40",49,1993,624743
"41",50,1993,620638
"42",51,1993,578786
"43",52,1993,530760
"44",53,1993,630178
"45",54,1993,517421
"46",55,1993,573678
"47",56,1993,493505
"48",57,1993,481273
"49",58,1993,481385
"50",59,1993,406862
"51",60,1993,478098
"52",61,1993,397832
"53",62,1993,414425
"54",63,1993,438441
"55",64,1993,359145
"56",65,1993,396037
"57",66,1993,353057
"58",67,1993,296745
"59",68,1993,304349
"60",69,1993,271326
"61",70,1993,262814
"62",71,1993,219969
"63",72,1993,221118
"64",73,1993,225030
"65",74,1993,176845
"66",75,1993,194151
"67",76,1993,162619
"68",77,1993,148305
"69",78,1993,154787
"70",79,1993,136143
"71",80,1993,136895
"72",81,1993,96265
"73",82,1993,92984
"74",83,1993,84055
"75",84,1993,73395
"76",85,1993,61641
"77",86,1993,52946
"78",87,1993,48957
"79",88,1993,32054
"80",89,1993,29081
"81",90,1993,27183
"82",91,1993,14916
"83",92,1993,14194
"84",93,1993,15179
"85",94,1993,2359
"86",95,1993,2637
"87",96,1993,3310
"88",97,1993,3772
"89",98,1993,3435
"90",99,1993,1952
"91",100,1993,4278
