"","Age","Year","Value"
"1",10,1982,1467704
"2",11,1982,1367353
"3",12,1982,1438022
"4",13,1982,1373613
"5",14,1982,1405225
"6",15,1982,1400941
"7",16,1982,1416503
"8",17,1982,1345333
"9",18,1982,1357146
"10",19,1982,1253025
"11",20,1982,1247763
"12",21,1982,1116048
"13",22,1982,1200889
"14",23,1982,1126878
"15",24,1982,1097731
"16",25,1982,1070781
"17",26,1982,1004573
"18",27,1982,1015789
"19",28,1982,992258
"20",29,1982,928293
"21",30,1982,976795
"22",31,1982,794332
"23",32,1982,867257
"24",33,1982,764231
"25",34,1982,780631
"26",35,1982,753386
"27",36,1982,726010
"28",37,1982,704553
"29",38,1982,688581
"30",39,1982,613637
"31",40,1982,715758
"32",41,1982,524811
"33",42,1982,681003
"34",43,1982,568276
"35",44,1982,550190
"36",45,1982,581019
"37",46,1982,538571
"38",47,1982,509520
"39",48,1982,499110
"40",49,1982,459747
"41",50,1982,520769
"42",51,1982,402069
"43",52,1982,487372
"44",53,1982,424985
"45",54,1982,419629
"46",55,1982,424797
"47",56,1982,403215
"48",57,1982,339825
"49",58,1982,336888
"50",59,1982,285266
"51",60,1982,357981
"52",61,1982,231025
"53",62,1982,292045
"54",63,1982,253731
"55",64,1982,252174
"56",65,1982,285298
"57",66,1982,244205
"58",67,1982,233645
"59",68,1982,222030
"60",69,1982,172049
"61",70,1982,211914
"62",71,1982,141516
"63",72,1982,171939
"64",73,1982,122026
"65",74,1982,125052
"66",75,1982,119313
"67",76,1982,117516
"68",77,1982,92014
"69",78,1982,81365
"70",79,1982,61984
"71",80,1982,79442
"72",81,1982,55146
"73",82,1982,68554
"74",83,1982,33663
"75",84,1982,27831
"76",85,1982,28000
"77",86,1982,22511
"78",87,1982,16011
"79",88,1982,22863
"80",89,1982,12863
"81",90,1982,12946
"82",91,1982,5099
"83",92,1982,6205
"84",93,1982,7009
"85",94,1982,4094
"86",95,1982,1396
"87",96,1982,2914
"88",97,1982,2576
"89",98,1982,8515
"90",99,1982,432
"91",100,1982,2674
