"","Age","Year","Value"
"1",10,1991,193243
"2",11,1991,261827
"3",12,1991,394309
"4",13,1991,505223
"5",14,1991,659657
"6",15,1991,898073
"7",16,1991,1010463
"8",17,1991,1067090
"9",18,1991,1153824
"10",19,1991,1056912
"11",20,1991,1127997
"12",21,1991,1143885
"13",22,1991,1172074
"14",23,1991,1090412
"15",24,1991,1121935
"16",25,1991,1106574
"17",26,1991,1071503
"18",27,1991,1080549
"19",28,1991,1031293
"20",29,1991,958801
"21",30,1991,1044908
"22",31,1991,918866
"23",32,1991,957082
"24",33,1991,960390
"25",34,1991,894229
"26",35,1991,961217
"27",36,1991,881261
"28",37,1991,831785
"29",38,1991,841050
"30",39,1991,803874
"31",40,1991,809946
"32",41,1991,685868
"33",42,1991,725307
"34",43,1991,623440
"35",44,1991,611562
"36",45,1991,638548
"37",46,1991,550418
"38",47,1991,543401
"39",48,1991,541364
"40",49,1991,471778
"41",50,1991,562414
"42",51,1991,446391
"43",52,1991,434315
"44",53,1991,395001
"45",54,1991,358735
"46",55,1991,356620
"47",56,1991,318429
"48",57,1991,306096
"49",58,1991,322966
"50",59,1991,269549
"51",60,1991,278028
"52",61,1991,235032
"53",62,1991,225987
"54",63,1991,209587
"55",64,1991,192686
"56",65,1991,178016
"57",66,1991,133570
"58",67,1991,120731
"59",68,1991,105330
"60",69,1991,73731
"61",70,1991,87910
"62",71,1991,46848
"63",72,1991,51231
"64",73,1991,42525
"65",74,1991,35719
"66",75,1991,54080
"67",76,1991,36717
"68",77,1991,31757
"69",78,1991,24380
"70",79,1991,18448
"71",80,1991,14498
"72",81,1991,9698
"73",82,1991,11436
"74",83,1991,4199
"75",84,1991,3208
"76",85,1991,1441
"77",86,1991,4401
"78",87,1991,2931
"79",88,1991,NA
"80",89,1991,1779
"81",90,1991,656
"82",91,1991,NA
"83",92,1991,NA
"84",93,1991,NA
"85",94,1991,NA
"86",95,1991,NA
"87",96,1991,328
"88",97,1991,NA
"89",98,1991,NA
"90",99,1991,NA
"91",100,1991,NA
