"","Age","Year","Value"
"1",10,1993,1813152
"2",11,1993,1778396
"3",12,1993,1819071
"4",13,1993,1702530
"5",14,1993,1713634
"6",15,1993,1637845
"7",16,1993,1607842
"8",17,1993,1471508
"9",18,1993,1518222
"10",19,1993,1355888
"11",20,1993,1331702
"12",21,1993,1222812
"13",22,1993,1223707
"14",23,1993,1329212
"15",24,1993,1179064
"16",25,1993,1215503
"17",26,1993,1087441
"18",27,1993,1184431
"19",28,1993,1156206
"20",29,1993,1217154
"21",30,1993,1193548
"22",31,1993,1055112
"23",32,1993,1069158
"24",33,1993,1107127
"25",34,1993,962761
"26",35,1993,1042773
"27",36,1993,1009415
"28",37,1993,922953
"29",38,1993,935713
"30",39,1993,954670
"31",40,1993,920924
"32",41,1993,816832
"33",42,1993,830753
"34",43,1993,788797
"35",44,1993,728542
"36",45,1993,711418
"37",46,1993,685442
"38",47,1993,620631
"39",48,1993,598306
"40",49,1993,584308
"41",50,1993,562685
"42",51,1993,511032
"43",52,1993,513998
"44",53,1993,555530
"45",54,1993,475418
"46",55,1993,464531
"47",56,1993,453764
"48",57,1993,437664
"49",58,1993,415010
"50",59,1993,367176
"51",60,1993,399375
"52",61,1993,365219
"53",62,1993,366368
"54",63,1993,375919
"55",64,1993,317760
"56",65,1993,355583
"57",66,1993,291073
"58",67,1993,267725
"59",68,1993,281309
"60",69,1993,209960
"61",70,1993,252360
"62",71,1993,195987
"63",72,1993,188923
"64",73,1993,169316
"65",74,1993,158067
"66",75,1993,152195
"67",76,1993,118644
"68",77,1993,115721
"69",78,1993,130303
"70",79,1993,93464
"71",80,1993,98953
"72",81,1993,76746
"73",82,1993,81669
"74",83,1993,54448
"75",84,1993,39711
"76",85,1993,39140
"77",86,1993,32948
"78",87,1993,27435
"79",88,1993,16546
"80",89,1993,22649
"81",90,1993,15302
"82",91,1993,7970
"83",92,1993,10271
"84",93,1993,5970
"85",94,1993,1328
"86",95,1993,1839
"87",96,1993,530
"88",97,1993,1076
"89",98,1993,715
"90",99,1993,1922
"91",100,1993,667
