"","Age","Year","Value"
"1",10,1983,1480960
"2",11,1983,1472004
"3",12,1983,1414763
"4",13,1983,1478308
"5",14,1983,1396255
"6",15,1983,1407524
"7",16,1983,1383157
"8",17,1983,1380746
"9",18,1983,1367226
"10",19,1983,1294964
"11",20,1983,1219437
"12",21,1983,1160419
"13",22,1983,1107387
"14",23,1983,1127819
"15",24,1983,1041451
"16",25,1983,1023230
"17",26,1983,942647
"18",27,1983,970747
"19",28,1983,936615
"20",29,1983,901265
"21",30,1983,922823
"22",31,1983,845958
"23",32,1983,846208
"24",33,1983,867916
"25",34,1983,734846
"26",35,1983,781474
"27",36,1983,726436
"28",37,1983,663148
"29",38,1983,655291
"30",39,1983,612070
"31",40,1983,663822
"32",41,1983,597758
"33",42,1983,579376
"34",43,1983,634521
"35",44,1983,539821
"36",45,1983,574642
"37",46,1983,500111
"38",47,1983,500226
"39",48,1983,497378
"40",49,1983,432759
"41",50,1983,479063
"42",51,1983,449927
"43",52,1983,443251
"44",53,1983,421772
"45",54,1983,397806
"46",55,1983,389848
"47",56,1983,399891
"48",57,1983,352168
"49",58,1983,364502
"50",59,1983,311749
"51",60,1983,305205
"52",61,1983,286966
"53",62,1983,256540
"54",63,1983,262579
"55",64,1983,217478
"56",65,1983,248641
"57",66,1983,231495
"58",67,1983,209094
"59",68,1983,225440
"60",69,1983,188645
"61",70,1983,186218
"62",71,1983,155915
"63",72,1983,153725
"64",73,1983,139073
"65",74,1983,104998
"66",75,1983,110421
"67",76,1983,97736
"68",77,1983,85276
"69",78,1983,81129
"70",79,1983,56317
"71",80,1983,60494
"72",81,1983,47573
"73",82,1983,40581
"74",83,1983,44808
"75",84,1983,27038
"76",85,1983,20787
"77",86,1983,14146
"78",87,1983,13109
"79",88,1983,10075
"80",89,1983,8316
"81",90,1983,5255
"82",91,1983,3428
"83",92,1983,2453
"84",93,1983,4515
"85",94,1983,2566
"86",95,1983,3877
"87",96,1983,1184
"88",97,1983,1645
"89",98,1983,2224
"90",99,1983,843
"91",100,1983,2809
