"","Age","Year","Value"
"1",10,1988,60445
"2",11,1988,94924
"3",12,1988,174293
"4",13,1988,259545
"5",14,1988,341053
"6",15,1988,467619
"7",16,1988,528109
"8",17,1988,591143
"9",18,1988,692742
"10",19,1988,652886
"11",20,1988,714496
"12",21,1988,683186
"13",22,1988,733451
"14",23,1988,686439
"15",24,1988,689479
"16",25,1988,660482
"17",26,1988,598659
"18",27,1988,577328
"19",28,1988,608965
"20",29,1988,555952
"21",30,1988,573396
"22",31,1988,524204
"23",32,1988,573281
"24",33,1988,544566
"25",34,1988,521729
"26",35,1988,535372
"27",36,1988,515503
"28",37,1988,453750
"29",38,1988,459935
"30",39,1988,410916
"31",40,1988,455071
"32",41,1988,386480
"33",42,1988,388628
"34",43,1988,362559
"35",44,1988,335349
"36",45,1988,304115
"37",46,1988,293908
"38",47,1988,258676
"39",48,1988,286902
"40",49,1988,243239
"41",50,1988,228499
"42",51,1988,194212
"43",52,1988,188510
"44",53,1988,187316
"45",54,1988,164810
"46",55,1988,141141
"47",56,1988,125887
"48",57,1988,112985
"49",58,1988,128365
"50",59,1988,94593
"51",60,1988,74009
"52",61,1988,58487
"53",62,1988,61761
"54",63,1988,59838
"55",64,1988,50722
"56",65,1988,57104
"57",66,1988,31541
"58",67,1988,29573
"59",68,1988,29445
"60",69,1988,13539
"61",70,1988,18089
"62",71,1988,13598
"63",72,1988,15403
"64",73,1988,10096
"65",74,1988,9285
"66",75,1988,11384
"67",76,1988,5801
"68",77,1988,4702
"69",78,1988,3025
"70",79,1988,3271
"71",80,1988,1537
"72",81,1988,3082
"73",82,1988,4250
"74",83,1988,1782
"75",84,1988,1989
"76",85,1988,1987
"77",86,1988,879
"78",87,1988,235
"79",88,1988,601
"80",89,1988,NA
"81",90,1988,NA
"82",91,1988,NA
"83",92,1988,NA
"84",93,1988,NA
"85",94,1988,NA
"86",95,1988,NA
"87",96,1988,NA
"88",97,1988,NA
"89",98,1988,NA
"90",99,1988,NA
"91",100,1988,NA
