"","Age","Year","Value"
"1",10,1992,1807709
"2",11,1992,1652887
"3",12,1992,1709339
"4",13,1992,1631209
"5",14,1992,1602243
"6",15,1992,1582071
"7",16,1992,1504976
"8",17,1992,1486009
"9",18,1992,1419600
"10",19,1992,1363437
"11",20,1992,1342217
"12",21,1992,1282146
"13",22,1992,1325291
"14",23,1992,1284998
"15",24,1992,1299984
"16",25,1992,1233936
"17",26,1992,1275539
"18",27,1992,1227756
"19",28,1992,1302388
"20",29,1992,1219240
"21",30,1992,1269369
"22",31,1992,1111313
"23",32,1992,1214482
"24",33,1992,1095514
"25",34,1992,1059925
"26",35,1992,1048049
"27",36,1992,1020691
"28",37,1992,1002744
"29",38,1992,970095
"30",39,1992,949298
"31",40,1992,966676
"32",41,1992,848046
"33",42,1992,884408
"34",43,1992,778939
"35",44,1992,782369
"36",45,1992,757591
"37",46,1992,638826
"38",47,1992,632718
"39",48,1992,625611
"40",49,1992,597763
"41",50,1992,626130
"42",51,1992,507777
"43",52,1992,599165
"44",53,1992,519091
"45",54,1992,512901
"46",55,1992,504979
"47",56,1992,516907
"48",57,1992,475151
"49",58,1992,429632
"50",59,1992,415356
"51",60,1992,488930
"52",61,1992,376893
"53",62,1992,438107
"54",63,1992,365399
"55",64,1992,385729
"56",65,1992,385309
"57",66,1992,360634
"58",67,1992,306254
"59",68,1992,306909
"60",69,1992,254441
"61",70,1992,269071
"62",71,1992,197680
"63",72,1992,238587
"64",73,1992,190320
"65",74,1992,204343
"66",75,1992,183890
"67",76,1992,157249
"68",77,1992,168118
"69",78,1992,134352
"70",79,1992,126443
"71",80,1992,106716
"72",81,1992,94746
"73",82,1992,88071
"74",83,1992,63394
"75",84,1992,72413
"76",85,1992,57343
"77",86,1992,46165
"78",87,1992,53670
"79",88,1992,32245
"80",89,1992,33528
"81",90,1992,31379
"82",91,1992,17159
"83",92,1992,11376
"84",93,1992,5552
"85",94,1992,6048
"86",95,1992,3921
"87",96,1992,4195
"88",97,1992,4453
"89",98,1992,5736
"90",99,1992,1093
"91",100,1992,4382
