"","Age","Year","Value"
"1",10,1996,177542
"2",11,1996,243774
"3",12,1996,313785
"4",13,1996,450678
"5",14,1996,628115
"6",15,1996,803486
"7",16,1996,1019624
"8",17,1996,1122693
"9",18,1996,1155794
"10",19,1996,1211613
"11",20,1996,1208171
"12",21,1996,1135397
"13",22,1996,1177085
"14",23,1996,1144369
"15",24,1996,1159602
"16",25,1996,1068015
"17",26,1996,1132869
"18",27,1996,1086651
"19",28,1996,1031148
"20",29,1996,1016571
"21",30,1996,1189006
"22",31,1996,1065203
"23",32,1996,1090772
"24",33,1996,1104241
"25",34,1996,1012498
"26",35,1996,1021998
"27",36,1996,1028956
"28",37,1996,967992
"29",38,1996,964259
"30",39,1996,898838
"31",40,1996,938964
"32",41,1996,859830
"33",42,1996,917702
"34",43,1996,770761
"35",44,1996,807058
"36",45,1996,724535
"37",46,1996,739063
"38",47,1996,641702
"39",48,1996,663098
"40",49,1996,616510
"41",50,1996,566910
"42",51,1996,513109
"43",52,1996,491752
"44",53,1996,432184
"45",54,1996,449336
"46",55,1996,376361
"47",56,1996,404408
"48",57,1996,346668
"49",58,1996,313983
"50",59,1996,334284
"51",60,1996,329446
"52",61,1996,265276
"53",62,1996,236745
"54",63,1996,207328
"55",64,1996,208418
"56",65,1996,186165
"57",66,1996,174583
"58",67,1996,138743
"59",68,1996,121089
"60",69,1996,105941
"61",70,1996,91363
"62",71,1996,80052
"63",72,1996,57580
"64",73,1996,50714
"65",74,1996,46118
"66",75,1996,46892
"67",76,1996,41786
"68",77,1996,27671
"69",78,1996,27130
"70",79,1996,25917
"71",80,1996,13314
"72",81,1996,19230
"73",82,1996,13157
"74",83,1996,6303
"75",84,1996,7413
"76",85,1996,8470
"77",86,1996,2876
"78",87,1996,4162
"79",88,1996,1112
"80",89,1996,912
"81",90,1996,586
"82",91,1996,844
"83",92,1996,1402
"84",93,1996,NA
"85",94,1996,NA
"86",95,1996,NA
"87",96,1996,NA
"88",97,1996,NA
"89",98,1996,1101
"90",99,1996,NA
"91",100,1996,NA
