"","Age","Year","Value"
"1",10,1986,187715
"2",11,1986,230309
"3",12,1986,371567
"4",13,1986,487552
"5",14,1986,695211
"6",15,1986,822371
"7",16,1986,951617
"8",17,1986,1061855
"9",18,1986,1176727
"10",19,1986,1072097
"11",20,1986,1210553
"12",21,1986,1129740
"13",22,1986,1234701
"14",23,1986,1188894
"15",24,1986,1083680
"16",25,1986,1017380
"17",26,1986,1042740
"18",27,1986,991713
"19",28,1986,989682
"20",29,1986,937048
"21",30,1986,1058009
"22",31,1986,871171
"23",32,1986,903136
"24",33,1986,858655
"25",34,1986,846474
"26",35,1986,796362
"27",36,1986,878028
"28",37,1986,722489
"29",38,1986,727647
"30",39,1986,656076
"31",40,1986,679425
"32",41,1986,609492
"33",42,1986,645519
"34",43,1986,561047
"35",44,1986,553805
"36",45,1986,551112
"37",46,1986,573065
"38",47,1986,484039
"39",48,1986,492236
"40",49,1986,452791
"41",50,1986,497442
"42",51,1986,395364
"43",52,1986,384854
"44",53,1986,332783
"45",54,1986,371466
"46",55,1986,308824
"47",56,1986,359853
"48",57,1986,259347
"49",58,1986,271483
"50",59,1986,232509
"51",60,1986,246227
"52",61,1986,211814
"53",62,1986,195434
"54",63,1986,176506
"55",64,1986,169290
"56",65,1986,131440
"57",66,1986,122412
"58",67,1986,90310
"59",68,1986,94035
"60",69,1986,75804
"61",70,1986,57036
"62",71,1986,55009
"63",72,1986,46612
"64",73,1986,37601
"65",74,1986,41658
"66",75,1986,33442
"67",76,1986,23540
"68",77,1986,12500
"69",78,1986,12915
"70",79,1986,11906
"71",80,1986,9152
"72",81,1986,7130
"73",82,1986,6333
"74",83,1986,6528
"75",84,1986,2380
"76",85,1986,2964
"77",86,1986,3300
"78",87,1986,1261
"79",88,1986,NA
"80",89,1986,652
"81",90,1986,719
"82",91,1986,NA
"83",92,1986,NA
"84",93,1986,1078
"85",94,1986,229
"86",95,1986,NA
"87",96,1986,NA
"88",97,1986,NA
"89",98,1986,559
"90",99,1986,NA
"91",100,1986,NA
