"","Age","Year","Value"
"1",10,1991,66755
"2",11,1991,90721
"3",12,1991,155495
"4",13,1991,230112
"5",14,1991,333095
"6",15,1991,468819
"7",16,1991,559724
"8",17,1991,574691
"9",18,1991,666787
"10",19,1991,674190
"11",20,1991,662972
"12",21,1991,669391
"13",22,1991,659792
"14",23,1991,650269
"15",24,1991,654611
"16",25,1991,645639
"17",26,1991,656869
"18",27,1991,623189
"19",28,1991,616291
"20",29,1991,567731
"21",30,1991,599043
"22",31,1991,587438
"23",32,1991,584802
"24",33,1991,554614
"25",34,1991,553974
"26",35,1991,568789
"27",36,1991,534611
"28",37,1991,498091
"29",38,1991,492819
"30",39,1991,496580
"31",40,1991,486736
"32",41,1991,406598
"33",42,1991,429318
"34",43,1991,373259
"35",44,1991,331612
"36",45,1991,338884
"37",46,1991,311806
"38",47,1991,251261
"39",48,1991,275259
"40",49,1991,230004
"41",50,1991,251628
"42",51,1991,196368
"43",52,1991,196397
"44",53,1991,182195
"45",54,1991,182779
"46",55,1991,170685
"47",56,1991,127706
"48",57,1991,127590
"49",58,1991,130886
"50",59,1991,110835
"51",60,1991,117112
"52",61,1991,61384
"53",62,1991,69002
"54",63,1991,62479
"55",64,1991,56764
"56",65,1991,50496
"57",66,1991,35930
"58",67,1991,32694
"59",68,1991,30132
"60",69,1991,21883
"61",70,1991,20143
"62",71,1991,14571
"63",72,1991,16144
"64",73,1991,10191
"65",74,1991,12606
"66",75,1991,8185
"67",76,1991,7079
"68",77,1991,7431
"69",78,1991,7347
"70",79,1991,5847
"71",80,1991,1557
"72",81,1991,562
"73",82,1991,1336
"74",83,1991,1850
"75",84,1991,666
"76",85,1991,583
"77",86,1991,1558
"78",87,1991,234
"79",88,1991,NA
"80",89,1991,NA
"81",90,1991,NA
"82",91,1991,NA
"83",92,1991,NA
"84",93,1991,NA
"85",94,1991,NA
"86",95,1991,NA
"87",96,1991,NA
"88",97,1991,NA
"89",98,1991,210
"90",99,1991,NA
"91",100,1991,NA
