"","Age","Year","Value"
"1",10,1982,229065
"2",11,1982,269061
"3",12,1982,406592
"4",13,1982,496411
"5",14,1982,634895
"6",15,1982,757896
"7",16,1982,897499
"8",17,1982,1026912
"9",18,1982,1087447
"10",19,1982,1037206
"11",20,1982,1022088
"12",21,1982,968397
"13",22,1982,1074941
"14",23,1982,975866
"15",24,1982,964979
"16",25,1982,943183
"17",26,1982,870575
"18",27,1982,897226
"19",28,1982,880550
"20",29,1982,783417
"21",30,1982,874791
"22",31,1982,745630
"23",32,1982,822836
"24",33,1982,735394
"25",34,1982,709254
"26",35,1982,677266
"27",36,1982,642868
"28",37,1982,621302
"29",38,1982,612349
"30",39,1982,565557
"31",40,1982,615329
"32",41,1982,486572
"33",42,1982,623202
"34",43,1982,499202
"35",44,1982,500633
"36",45,1982,486124
"37",46,1982,475017
"38",47,1982,426792
"39",48,1982,388327
"40",49,1982,358931
"41",50,1982,444590
"42",51,1982,343732
"43",52,1982,404218
"44",53,1982,333925
"45",54,1982,308260
"46",55,1982,320531
"47",56,1982,288403
"48",57,1982,246961
"49",58,1982,256649
"50",59,1982,195049
"51",60,1982,216958
"52",61,1982,154077
"53",62,1982,185883
"54",63,1982,153726
"55",64,1982,142218
"56",65,1982,125469
"57",66,1982,100792
"58",67,1982,104205
"59",68,1982,91908
"60",69,1982,78767
"61",70,1982,69714
"62",71,1982,48156
"63",72,1982,53059
"64",73,1982,30401
"65",74,1982,26542
"66",75,1982,32626
"67",76,1982,22427
"68",77,1982,16539
"69",78,1982,11111
"70",79,1982,8678
"71",80,1982,11732
"72",81,1982,5658
"73",82,1982,3705
"74",83,1982,1475
"75",84,1982,3058
"76",85,1982,1399
"77",86,1982,735
"78",87,1982,967
"79",88,1982,2276
"80",89,1982,970
"81",90,1982,752
"82",91,1982,NA
"83",92,1982,290
"84",93,1982,314
"85",94,1982,NA
"86",95,1982,156
"87",96,1982,NA
"88",97,1982,NA
"89",98,1982,NA
"90",99,1982,NA
"91",100,1982,NA
