"","Age","Year","Value"
"1",10,1998,1666017
"2",11,1998,1611625
"3",12,1998,1695460
"4",13,1998,1710299
"5",14,1998,1696064
"6",15,1998,1739748
"7",16,1998,1773752
"8",17,1998,1696083
"9",18,1998,1633215
"10",19,1998,1540701
"11",20,1998,1490148
"12",21,1998,1402659
"13",22,1998,1399997
"14",23,1998,1379737
"15",24,1998,1323699
"16",25,1998,1305533
"17",26,1998,1302729
"18",27,1998,1189585
"19",28,1998,1270130
"20",29,1998,1222088
"21",30,1998,1290912
"22",31,1998,1223921
"23",32,1998,1281302
"24",33,1998,1300736
"25",34,1998,1245583
"26",35,1998,1267915
"27",36,1998,1185026
"28",37,1998,1129754
"29",38,1998,1167140
"30",39,1998,1092390
"31",40,1998,1163688
"32",41,1998,1023600
"33",42,1998,1052807
"34",43,1998,991317
"35",44,1998,974755
"36",45,1998,941620
"37",46,1998,909308
"38",47,1998,842273
"39",48,1998,850211
"40",49,1998,773902
"41",50,1998,808433
"42",51,1998,654675
"43",52,1998,679487
"44",53,1998,644722
"45",54,1998,636649
"46",55,1998,607672
"47",56,1998,593185
"48",57,1998,546683
"49",58,1998,601428
"50",59,1998,519681
"51",60,1998,502715
"52",61,1998,480781
"53",62,1998,506365
"54",63,1998,457594
"55",64,1998,427596
"56",65,1998,428418
"57",66,1998,401982
"58",67,1998,370733
"59",68,1998,401110
"60",69,1998,335355
"61",70,1998,383415
"62",71,1998,285805
"63",72,1998,272132
"64",73,1998,280935
"65",74,1998,252968
"66",75,1998,217924
"67",76,1998,206188
"68",77,1998,172061
"69",78,1998,183559
"70",79,1998,130536
"71",80,1998,165035
"72",81,1998,118791
"73",82,1998,118978
"74",83,1998,101301
"75",84,1998,103779
"76",85,1998,80320
"77",86,1998,72573
"78",87,1998,65957
"79",88,1998,49999
"80",89,1998,27719
"81",90,1998,28169
"82",91,1998,23334
"83",92,1998,16918
"84",93,1998,14809
"85",94,1998,7183
"86",95,1998,8595
"87",96,1998,9626
"88",97,1998,5855
"89",98,1998,4289
"90",99,1998,849
"91",100,1998,4051
