"","Age","Year","Value"
"1",10,1990,1694798
"2",11,1990,1728244
"3",12,1990,1598868
"4",13,1990,1548261
"5",14,1990,1585087
"6",15,1990,1538942
"7",16,1990,1491519
"8",17,1990,1395165
"9",18,1990,1397933
"10",19,1990,1309719
"11",20,1990,1338230
"12",21,1990,1245583
"13",22,1990,1242126
"14",23,1990,1247566
"15",24,1990,1278117
"16",25,1990,1256769
"17",26,1990,1276150
"18",27,1990,1241915
"19",28,1990,1190471
"20",29,1990,1102089
"21",30,1990,1151582
"22",31,1990,1089018
"23",32,1990,1097433
"24",33,1990,1076957
"25",34,1990,1030848
"26",35,1990,1059509
"27",36,1990,1000447
"28",37,1990,914445
"29",38,1990,925458
"30",39,1990,890210
"31",40,1990,938091
"32",41,1990,804586
"33",42,1990,823924
"34",43,1990,745047
"35",44,1990,701724
"36",45,1990,698701
"37",46,1990,669302
"38",47,1990,588369
"39",48,1990,607978
"40",49,1990,562853
"41",50,1990,631009
"42",51,1990,510719
"43",52,1990,544167
"44",53,1990,497295
"45",54,1990,541210
"46",55,1990,530240
"47",56,1990,432237
"48",57,1990,438493
"49",58,1990,479816
"50",59,1990,407541
"51",60,1990,503924
"52",61,1990,331365
"53",62,1990,408888
"54",63,1990,380883
"55",64,1990,348133
"56",65,1990,352013
"57",66,1990,330259
"58",67,1990,285672
"59",68,1990,280776
"60",69,1990,240735
"61",70,1990,272250
"62",71,1990,188681
"63",72,1990,200434
"64",73,1990,185868
"65",74,1990,187162
"66",75,1990,202588
"67",76,1990,166515
"68",77,1990,130072
"69",78,1990,139968
"70",79,1990,111514
"71",80,1990,116468
"72",81,1990,62499
"73",82,1990,66369
"74",83,1990,68308
"75",84,1990,53552
"76",85,1990,63337
"77",86,1990,46381
"78",87,1990,37662
"79",88,1990,27896
"80",89,1990,27870
"81",90,1990,18855
"82",91,1990,8464
"83",92,1990,9270
"84",93,1990,6046
"85",94,1990,8639
"86",95,1990,6018
"87",96,1990,2214
"88",97,1990,2578
"89",98,1990,7962
"90",99,1990,667
"91",100,1990,4177
