"","Age","Year","Value"
"1",10,1999,1712413
"2",11,1999,1763086
"3",12,1999,1777919
"4",13,1999,1752322
"5",14,1999,1752193
"6",15,1999,1754161
"7",16,1999,1817254
"8",17,1999,1820469
"9",18,1999,1753692
"10",19,1999,1645198
"11",20,1999,1620204
"12",21,1999,1448497
"13",22,1999,1446822
"14",23,1999,1433173
"15",24,1999,1344122
"16",25,1999,1294190
"17",26,1999,1235629
"18",27,1999,1234265
"19",28,1999,1209473
"20",29,1999,1154661
"21",30,1999,1246957
"22",31,1999,1200718
"23",32,1999,1136557
"24",33,1999,1207313
"25",34,1999,1168120
"26",35,1999,1254378
"27",36,1999,1192577
"28",37,1999,1165886
"29",38,1999,1075636
"30",39,1999,1096922
"31",40,1999,1090434
"32",41,1999,995540
"33",42,1999,1003887
"34",43,1999,957308
"35",44,1999,922646
"36",45,1999,948007
"37",46,1999,843276
"38",47,1999,797601
"39",48,1999,762415
"40",49,1999,806723
"41",50,1999,746822
"42",51,1999,685473
"43",52,1999,670637
"44",53,1999,650956
"45",54,1999,621345
"46",55,1999,586195
"47",56,1999,533346
"48",57,1999,529028
"49",58,1999,473381
"50",59,1999,520919
"51",60,1999,492745
"52",61,1999,408395
"53",62,1999,413805
"54",63,1999,413472
"55",64,1999,420098
"56",65,1999,353970
"57",66,1999,341910
"58",67,1999,361274
"59",68,1999,329600
"60",69,1999,331834
"61",70,1999,282182
"62",71,1999,285875
"63",72,1999,269648
"64",73,1999,214750
"65",74,1999,214206
"66",75,1999,184103
"67",76,1999,172845
"68",77,1999,181530
"69",78,1999,142526
"70",79,1999,123516
"71",80,1999,106302
"72",81,1999,87641
"73",82,1999,85127
"74",83,1999,79360
"75",84,1999,73942
"76",85,1999,47606
"77",86,1999,46116
"78",87,1999,39734
"79",88,1999,29344
"80",89,1999,32556
"81",90,1999,17158
"82",91,1999,7551
"83",92,1999,9585
"84",93,1999,9480
"85",94,1999,5368
"86",95,1999,6001
"87",96,1999,3033
"88",97,1999,615
"89",98,1999,4268
"90",99,1999,1731
"91",100,1999,938
