"","Age","Year","Value"
"1",10,1992,252707
"2",11,1992,361412
"3",12,1992,471811
"4",13,1992,574180
"5",14,1992,713625
"6",15,1992,921879
"7",16,1992,1020881
"8",17,1992,1098835
"9",18,1992,1133318
"10",19,1992,1117830
"11",20,1992,1195895
"12",21,1992,1127425
"13",22,1992,1212750
"14",23,1992,1151320
"15",24,1992,1168040
"16",25,1992,1088423
"17",26,1992,1095683
"18",27,1992,1144232
"19",28,1992,1107726
"20",29,1992,1119013
"21",30,1992,1118658
"22",31,1992,1010611
"23",32,1992,1069587
"24",33,1992,963205
"25",34,1992,995861
"26",35,1992,970365
"27",36,1992,895273
"28",37,1992,928940
"29",38,1992,875601
"30",39,1992,822187
"31",40,1992,851434
"32",41,1992,725509
"33",42,1992,854007
"34",43,1992,669900
"35",44,1992,705008
"36",45,1992,671724
"37",46,1992,580260
"38",47,1992,555104
"39",48,1992,539435
"40",49,1992,486809
"41",50,1992,531227
"42",51,1992,410832
"43",52,1992,473970
"44",53,1992,419090
"45",54,1992,359157
"46",55,1992,375873
"47",56,1992,367466
"48",57,1992,298719
"49",58,1992,289350
"50",59,1992,263787
"51",60,1992,292114
"52",61,1992,218685
"53",62,1992,254841
"54",63,1992,196347
"55",64,1992,210322
"56",65,1992,199397
"57",66,1992,144260
"58",67,1992,136854
"59",68,1992,129047
"60",69,1992,108027
"61",70,1992,94562
"62",71,1992,72908
"63",72,1992,77308
"64",73,1992,53385
"65",74,1992,56127
"66",75,1992,39634
"67",76,1992,36954
"68",77,1992,27725
"69",78,1992,23906
"70",79,1992,20255
"71",80,1992,18977
"72",81,1992,16624
"73",82,1992,9690
"74",83,1992,6905
"75",84,1992,6261
"76",85,1992,5733
"77",86,1992,3463
"78",87,1992,1592
"79",88,1992,2703
"80",89,1992,2523
"81",90,1992,2257
"82",91,1992,1588
"83",92,1992,NA
"84",93,1992,1092
"85",94,1992,NA
"86",95,1992,NA
"87",96,1992,NA
"88",97,1992,NA
"89",98,1992,NA
"90",99,1992,NA
"91",100,1992,500
