"","Age","Year","Value"
"1",10,1983,165077
"2",11,1983,232455
"3",12,1983,315799
"4",13,1983,475339
"5",14,1983,616126
"6",15,1983,761920
"7",16,1983,892475
"8",17,1983,988540
"9",18,1983,1056683
"10",19,1983,1100754
"11",20,1983,1077059
"12",21,1983,1045062
"13",22,1983,1023082
"14",23,1983,1049836
"15",24,1983,984643
"16",25,1983,976360
"17",26,1983,895723
"18",27,1983,933570
"19",28,1983,893293
"20",29,1983,871713
"21",30,1983,882481
"22",31,1983,817686
"23",32,1983,812455
"24",33,1983,835443
"25",34,1983,704541
"26",35,1983,747783
"27",36,1983,691228
"28",37,1983,632345
"29",38,1983,620959
"30",39,1983,580306
"31",40,1983,629008
"32",41,1983,557309
"33",42,1983,544505
"34",43,1983,586840
"35",44,1983,501252
"36",45,1983,527072
"37",46,1983,448018
"38",47,1983,456345
"39",48,1983,442233
"40",49,1983,379479
"41",50,1983,407003
"42",51,1983,373517
"43",52,1983,368232
"44",53,1983,338260
"45",54,1983,318686
"46",55,1983,310702
"47",56,1983,303636
"48",57,1983,247251
"49",58,1983,266918
"50",59,1983,224625
"51",60,1983,208102
"52",61,1983,187362
"53",62,1983,155849
"54",63,1983,156420
"55",64,1983,123930
"56",65,1983,126591
"57",66,1983,106267
"58",67,1983,89030
"59",68,1983,89341
"60",69,1983,74850
"61",70,1983,67605
"62",71,1983,45164
"63",72,1983,44785
"64",73,1983,38026
"65",74,1983,29675
"66",75,1983,28763
"67",76,1983,21268
"68",77,1983,17433
"69",78,1983,13977
"70",79,1983,7286
"71",80,1983,8566
"72",81,1983,5346
"73",82,1983,5851
"74",83,1983,5951
"75",84,1983,3362
"76",85,1983,2143
"77",86,1983,491
"78",87,1983,336
"79",88,1983,740
"80",89,1983,2470
"81",90,1983,NA
"82",91,1983,172
"83",92,1983,105
"84",93,1983,1045
"85",94,1983,NA
"86",95,1983,NA
"87",96,1983,NA
"88",97,1983,346
"89",98,1983,172
"90",99,1983,434
"91",100,1983,215
