"","Age","Year","Value"
"1",10,1999,1663861
"2",11,1999,1691353
"3",12,1999,1786719
"4",13,1999,1754219
"5",14,1999,1741361
"6",15,1999,1737082
"7",16,1999,1749622
"8",17,1999,1755259
"9",18,1999,1718626
"10",19,1999,1675913
"11",20,1999,1613087
"12",21,1999,1500472
"13",22,1999,1463857
"14",23,1999,1402628
"15",24,1999,1413811
"16",25,1999,1358796
"17",26,1999,1294586
"18",27,1999,1325504
"19",28,1999,1259855
"20",29,1999,1298863
"21",30,1999,1331440
"22",31,1999,1267827
"23",32,1999,1321677
"24",33,1999,1308422
"25",34,1999,1314522
"26",35,1999,1297389
"27",36,1999,1302769
"28",37,1999,1200407
"29",38,1999,1163333
"30",39,1999,1198124
"31",40,1999,1161989
"32",41,1999,1096209
"33",42,1999,1105709
"34",43,1999,1080074
"35",44,1999,1005451
"36",45,1999,1007418
"37",46,1999,920260
"38",47,1999,859233
"39",48,1999,872137
"40",49,1999,875315
"41",50,1999,811738
"42",51,1999,751873
"43",52,1999,722185
"44",53,1999,699112
"45",54,1999,662264
"46",55,1999,620993
"47",56,1999,571938
"48",57,1999,566422
"49",58,1999,553606
"50",59,1999,590689
"51",60,1999,557793
"52",61,1999,476770
"53",62,1999,503371
"54",63,1999,505496
"55",64,1999,500582
"56",65,1999,439333
"57",66,1999,444296
"58",67,1999,405234
"59",68,1999,368360
"60",69,1999,394670
"61",70,1999,351026
"62",71,1999,329442
"63",72,1999,294593
"64",73,1999,280827
"65",74,1999,279826
"66",75,1999,239910
"67",76,1999,212275
"68",77,1999,212713
"69",78,1999,180158
"70",79,1999,167382
"71",80,1999,149253
"72",81,1999,143047
"73",82,1999,116333
"74",83,1999,93657
"75",84,1999,103143
"76",85,1999,94728
"77",86,1999,77049
"78",87,1999,56825
"79",88,1999,47428
"80",89,1999,38411
"81",90,1999,26697
"82",91,1999,25665
"83",92,1999,21551
"84",93,1999,17099
"85",94,1999,17972
"86",95,1999,8850
"87",96,1999,8968
"88",97,1999,8069
"89",98,1999,9412
"90",99,1999,3514
"91",100,1999,2839
