"","Age","Year","Value"
"1",10,1979,1401760
"2",11,1979,1364678
"3",12,1979,1373910
"4",13,1979,1357162
"5",14,1979,1382138
"6",15,1979,1359496
"7",16,1979,1372251
"8",17,1979,1318038
"9",18,1979,1244412
"10",19,1979,1207752
"11",20,1979,1088768
"12",21,1979,1055542
"13",22,1979,1064124
"14",23,1979,975552
"15",24,1979,958142
"16",25,1979,941127
"17",26,1979,843544
"18",27,1979,829516
"19",28,1979,814782
"20",29,1979,759689
"21",30,1979,794508
"22",31,1979,683584
"23",32,1979,674519
"24",33,1979,655808
"25",34,1979,617700
"26",35,1979,617827
"27",36,1979,599472
"28",37,1979,599519
"29",38,1979,543060
"30",39,1979,601615
"31",40,1979,602630
"32",41,1979,508712
"33",42,1979,539550
"34",43,1979,517971
"35",44,1979,502042
"36",45,1979,470798
"37",46,1979,410375
"38",47,1979,447236
"39",48,1979,431740
"40",49,1979,438616
"41",50,1979,443181
"42",51,1979,364186
"43",52,1979,382579
"44",53,1979,365491
"45",54,1979,333634
"46",55,1979,342926
"47",56,1979,312437
"48",57,1979,280140
"49",58,1979,276077
"50",59,1979,249301
"51",60,1979,271886
"52",61,1979,222646
"53",62,1979,209098
"54",63,1979,213881
"55",64,1979,208626
"56",65,1979,216476
"57",66,1979,197100
"58",67,1979,179933
"59",68,1979,173612
"60",69,1979,152097
"61",70,1979,149173
"62",71,1979,113729
"63",72,1979,117626
"64",73,1979,105745
"65",74,1979,88001
"66",75,1979,89872
"67",76,1979,71868
"68",77,1979,65300
"69",78,1979,70932
"70",79,1979,59378
"71",80,1979,36973
"72",81,1979,30336
"73",82,1979,22122
"74",83,1979,20573
"75",84,1979,19530
"76",85,1979,20676
"77",86,1979,11430
"78",87,1979,12411
"79",88,1979,7899
"80",89,1979,7717
"81",90,1979,8488
"82",91,1979,2029
"83",92,1979,2651
"84",93,1979,1094
"85",94,1979,2337
"86",95,1979,1003
"87",96,1979,1372
"88",97,1979,106
"89",98,1979,3840
"90",99,1979,663
"91",100,1979,281
